City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,miri,4.3927,113.988,89.71,74,20,5.01,MY,Fri Aug  4 04:05:58 2023
62,parabel',58.714,81.5018,76.44,66,100,6.11,RU,Fri Aug  4 04:05:59 2023
63,enewetak,11.3409,162.3245,83.64,76,19,13.76,MH,Fri Aug  4 04:05:59 2023
64,stornoway,58.2084,-6.3881,52.09,82,100,3.0,GB,Fri Aug  4 04:06:00 2023
65,kone,-21.0608,164.8619,66.47,76,99,10.54,NC,Fri Aug  4 04:06:00 2023
66,hethersett,52.5997,1.1771,58.82,90,75,3.44,GB,Fri Aug  4 04:06:01 2023
67,coahuayana de hidalgo,18.7036,-103.6596,79.83,86,100,1.61,MX,Fri Aug  4 04:05:11 2023
68,blackmans bay,-43.0047,147.318,60.22,83,100,12.71,AU,Fri Aug  4 03:59:07 2023
69,ormara,25.2106,64.6375,83.19,77,99,6.82,PK,Fri Aug  4 04:06:01 2023
70,waingapu,-9.6522,120.2637,84.96,62,34,17.72,ID,Fri Aug  4 04:06:02 2023
71,guajara mirim,-10.7804,-65.3328,79.81,44,87,1.54,BR,Fri Aug  4 04:06:02 2023
72,margate,51.3878,1.382,59.99,83,57,3.0,GB,Fri Aug  4 04:06:03 2023
73,naze,5.452,7.0567,70.72,97,72,3.47,NG,Fri Aug  4 04:06:03 2023
74,dunedin,-45.8741,170.5036,48.07,86,100,18.77,NZ,Fri Aug  4 04:06:04 2023
75,saldanha,-32.9978,17.9456,50.27,88,100,9.26,ZA,Fri Aug  4 04:06:04 2023
76,codrington,51.5082,-2.3937,58.69,85,68,1.01,GB,Fri Aug  4 04:06:04 2023
77,aksu,54.8464,50.8055,70.74,74,6,3.94,RU,Fri Aug  4 04:06:05 2023
78,port mathurin,-19.6808,63.4221,74.28,70,31,21.88,MU,Fri Aug  4 03:59:19 2023
79,vorgashor,67.5812,63.7837,75.65,56,27,4.88,RU,Fri Aug  4 04:06:06 2023
80,olonkinbyen,70.9224,-8.716,39.45,95,100,20.89,SJ,Fri Aug  4 03:59:20 2023
81,fort mcmurray,56.7292,-111.3885,63.91,88,0,3.44,CA,Fri Aug  4 04:06:06 2023
82,takoradi,4.8874,-1.7519,73.69,86,36,5.23,GH,Fri Aug  4 04:06:07 2023
83,saipan,15.191,145.7467,84.4,100,75,5.99,MP,Fri Aug  4 04:06:07 2023
84,georgetown,6.8137,-58.1624,73.69,87,4,3.6,GY,Fri Aug  4 04:06:07 2023
85,prosser,46.2068,-119.7692,88.63,27,99,5.99,US,Fri Aug  4 04:06:08 2023
86,lebu,-37.61,-73.6559,44.78,72,3,16.02,CL,Fri Aug  4 04:06:08 2023
87,vila franca do campo,37.7172,-25.4335,72.01,89,35,7.47,PT,Fri Aug  4 04:06:09 2023
88,mawu,34.4307,104.9176,74.52,54,16,6.71,CN,Fri Aug  4 04:06:09 2023
89,dean funes,-30.425,-64.3527,51.62,64,8,5.86,AR,Fri Aug  4 04:06:09 2023
90,malango,-2.9627,119.9001,83.7,53,13,5.23,ID,Fri Aug  4 04:06:10 2023
91,nurpur kalan,31.168,76.4797,88.93,66,4,4.18,IN,Fri Aug  4 04:06:11 2023
92,ushuaia,-54.8061,-68.3185,31.69,86,75,25.32,AR,Fri Aug  4 04:06:11 2023
93,antofagasta,-23.6464,-70.398,63.79,89,15,3.42,CL,Fri Aug  4 04:04:39 2023
94,klyuchi,56.3182,160.8422,52.5,97,100,10.51,RU,Fri Aug  4 04:06:12 2023
95,magadan,59.5605,150.7989,67.28,67,100,4.85,RU,Fri Aug  4 04:06:12 2023
96,cabimas,10.3951,-71.4414,82.81,76,24,7.16,VE,Fri Aug  4 04:06:13 2023
97,puerto ayora,-0.7472,-90.3134,77.2,94,30,5.99,EC,Fri Aug  4 04:06:13 2023
98,watertown,42.3652,-71.1844,69.39,72,0,10.36,US,Fri Aug  4 04:06:14 2023
99,port elizabeth,-33.9617,25.6208,50.11,76,0,1.14,ZA,Fri Aug  4 04:06:14 2023
100,papatowai,-46.5619,169.4708,45.16,92,100,12.97,NZ,Fri Aug  4 04:06:14 2023
101,timaru,-44.393,171.251,51.17,82,83,5.01,NZ,Fri Aug  4 04:06:15 2023
102,labrador city,52.9423,-66.9177,51.71,93,75,2.3,CA,Fri Aug  4 04:06:15 2023
103,venceremos,20.5513,-100.3991,69.91,80,100,4.83,MX,Fri Aug  4 04:06:16 2023
104,es castell,39.8799,4.2905,72.46,78,20,10.36,ES,Fri Aug  4 04:06:16 2023
105,bilibino,68.055,166.4449,51.24,94,100,0.47,RU,Fri Aug  4 03:59:15 2023
106,tamiahua,21.2781,-97.4456,81.16,85,100,9.33,MX,Fri Aug  4 04:06:17 2023
107,mildura,-34.1847,142.1625,73.08,45,98,24.45,AU,Fri Aug  4 04:03:22 2023
108,langsa,4.4731,97.9682,89.37,59,100,2.13,ID,Fri Aug  4 04:06:17 2023
109,afaahiti,-17.739,-149.29,79.72,76,49,9.75,PF,Fri Aug  4 04:06:18 2023
110,lerwick,60.1531,-1.1427,51.82,74,99,16.98,GB,Fri Aug  4 04:06:19 2023
111,doka,11.359,7.7778,69.39,95,73,9.57,NG,Fri Aug  4 04:06:19 2023
112,argo,33.6882,-86.5014,74.71,97,100,1.01,US,Fri Aug  4 04:06:20 2023
113,yaren,-0.5471,166.9164,84.25,71,8,7.72,NR,Fri Aug  4 04:06:21 2023
114,bamboo flat,11.7126,92.7164,87.46,70,40,16.11,IN,Fri Aug  4 04:06:21 2023
115,faya-largeau,17.9209,19.0953,85.15,60,100,13.15,TD,Fri Aug  4 04:06:23 2023
116,weno,7.4401,151.857,81.19,74,94,9.46,FM,Fri Aug  4 04:06:23 2023
117,hawaiian paradise park,19.585,-154.9731,78.19,80,75,8.05,US,Fri Aug  4 04:06:24 2023
118,anadyr,64.7317,177.5061,53.47,87,75,4.47,RU,Fri Aug  4 04:06:24 2023
119,kristiansund,63.2168,7.5453,54.25,94,100,3.44,NO,Fri Aug  4 04:06:24 2023
120,emerald,-23.5263,148.1619,76.3,37,0,14.79,AU,Fri Aug  4 04:06:25 2023
121,sinop,42.0266,35.1512,64.33,88,0,4.61,TR,Fri Aug  4 04:06:25 2023
122,kyzyl-suu,42.3395,78.0047,74.34,26,0,6.04,KG,Fri Aug  4 04:06:25 2023
123,ulladulla,-35.3622,150.4752,72.86,38,100,6.51,AU,Fri Aug  4 04:05:55 2023
124,cidreira,-30.1657,-50.2183,62.4,82,99,8.9,BR,Fri Aug  4 03:59:08 2023
125,sao joao da barra,-21.6349,-41.0487,65.95,81,0,10.63,BR,Fri Aug  4 04:06:26 2023
